Level,Period,Duration_seconds,Duration_days,Duration_months,Duration_years
4,Sun -> Antardasha -> Venus -> Duration_months,,,11.999014454664913,
4,Sun -> Antardasha -> Venus -> Duration_years,,,,1.0
4,Sun -> Antardasha -> Sun -> Duration_seconds,9467280.0,,,
4,Sun -> Antardasha -> Sun -> Duration_days,,109.575,,
4,Sun -> Antardasha -> Sun -> Duration_months,,,3.5997043363994736,
4,Sun -> Antardasha -> Sun -> Duration_years,,,,0.3
4,Sun -> Antardasha -> Moon -> Duration_seconds,15778800.0,,,
4,Sun -> Antardasha -> Moon -> Duration_days,,182.625,,
4,Sun -> Antardasha -> Moon -> Duration_months,,,5.999507227332456,
4,Sun -> Antardasha -> Moon -> Duration_years,,,,0.5
4,Sun -> Antardasha -> Mars -> Duration_seconds,11045160.0,,,
4,Sun -> Antardasha -> Mars -> Duration_days,,127.8375,,
4,Sun -> Antardasha -> Mars -> Duration_months,,,4.199655059132719,
4,Sun -> Antardasha -> Mars -> Duration_years,,,,0.35
4,Sun -> Antardasha -> Rahu -> Duration_seconds,28401840.0,,,
4,Sun -> Antardasha -> Rahu -> Duration_days,,328.725,,
4,Sun -> Antardasha -> Rahu -> Duration_months,,,10.799113009198422,
4,Sun -> Antardasha -> Rahu -> Duration_years,,,,0.9
4,Sun -> Antardasha -> Jupiter -> Duration_seconds,25246080.0,,,
4,Sun -> Antardasha -> Jupiter -> Duration_days,,292.2,,
4,Sun -> Antardasha -> Jupiter -> Duration_months,,,9.59921156373193,
4,Sun -> Antardasha -> Jupiter -> Duration_years,,,,0.8
4,Sun -> Antardasha -> Saturn -> Duration_seconds,29979720.0,,,
4,Sun -> Antardasha -> Saturn -> Duration_days,,346.9875,,
4,Sun -> Antardasha -> Saturn -> Duration_months,,,11.399063731931667,
4,Sun -> Antardasha -> Saturn -> Duration_years,,,,0.95
4,Sun -> Antardasha -> Mercury -> Duration_seconds,26823960.0,,,
4,Sun -> Antardasha -> Mercury -> Duration_days,,310.4625,,
4,Sun -> Antardasha -> Mercury -> Duration_months,,,10.199162286465176,
4,Sun -> Antardasha -> Mercury -> Duration_years,,,,0.85
2,Moon -> Mahadasha_duration_seconds,315576000.0,,,
2,Moon -> Mahadasha_duration_days,,3652.5,,
2,Moon -> Mahadasha_duration_months,,,119.99014454664912,
2,Moon -> Mahadasha_duration_years,,,,10.0
4,Moon -> Antardasha -> Ketu -> Duration_seconds,18408600.0,,,
4,Moon -> Antardasha -> Ketu -> Duration_days,,213.0625,,
4,Moon -> Antardasha -> Ketu -> Duration_months,,,6.999425098554532,
4,Moon -> Antardasha -> Ketu -> Duration_years,,,,0.5833333333333334
4,Moon -> Antardasha -> Venus -> Duration_seconds,52596000.0,,,
4,Moon -> Antardasha -> Venus -> Duration_days,,608.75,,
4,Moon -> Antardasha -> Venus -> Duration_months,,,19.998357424441522,
4,Moon -> Antardasha -> Venus -> Duration_years,,,,1.6666666666666667
4,Moon -> Antardasha -> Sun -> Duration_seconds,15778800.0,,,
4,Moon -> Antardasha -> Sun -> Duration_days,,182.625,,
4,Moon -> Antardasha -> Sun -> Duration_months,,,5.999507227332456,
4,Moon -> Antardasha -> Sun -> Duration_years,,,,0.5
4,Moon -> Antardasha -> Moon -> Duration_seconds,26298000.0,,,
4,Moon -> Antardasha -> Moon -> Duration_days,,304.375,,
4,Moon -> Antardasha -> Moon -> Duration_months,,,9.999178712220761,
4,Moon -> Antardasha -> Moon -> Duration_years,,,,0.8333333333333334
4,Moon -> Antardasha -> Mars -> Duration_seconds,18408600.0,,,
4,Moon -> Antardasha -> Mars -> Duration_days,,213.0625,,
4,Moon -> Antardasha -> Mars -> Duration_months,,,6.999425098554532,
4,Moon -> Antardasha -> Mars -> Duration_years,,,,0.5833333333333334
4,Moon -> Antardasha -> Rahu -> Duration_seconds,47336400.0,,,
4,Moon -> Antardasha -> Rahu -> Duration_days,,547.875,,
4,Moon -> Antardasha -> Rahu -> Duration_months,,,17.998521681997367,
4,Moon -> Antardasha -> Rahu -> Duration_years,,,,1.5
4,Moon -> Antardasha -> Jupiter -> Duration_seconds,42076800.0,,,
4,Moon -> Antardasha -> Jupiter -> Duration_days,,487.0,,
4,Moon -> Antardasha -> Jupiter -> Duration_months,,,15.998685939553217,
4,Moon -> Antardasha -> Jupiter -> Duration_years,,,,1.3333333333333333
4,Moon -> Antardasha -> Saturn -> Duration_seconds,49966200.0,,,
4,Moon -> Antardasha -> Saturn -> Duration_days,,578.3125,,
4,Moon -> Antardasha -> Saturn -> Duration_months,,,18.998439553219445,
4,Moon -> Antardasha -> Saturn -> Duration_years,,,,1.5833333333333333
4,Moon -> Antardasha -> Mercury -> Duration_seconds,44706600.0,,,
4,Moon -> Antardasha -> Mercury -> Duration_days,,517.4375,,
4,Moon -> Antardasha -> Mercury -> Duration_months,,,16.998603810775293,
4,Moon -> Antardasha -> Mercury -> Duration_years,,,,1.4166666666666667
2,Mars -> Mahadasha_duration_seconds,220903200.0,,,
2,Mars -> Mahadasha_duration_days,,2556.75,,
2,Mars -> Mahadasha_duration_months,,,83.99310118265439,
2,Mars -> Mahadasha_duration_years,,,,7.0
4,Mars -> Antardasha -> Ketu -> Duration_seconds,12886020.0,,,
4,Mars -> Antardasha -> Ketu -> Duration_days,,149.14375,,
4,Mars -> Antardasha -> Ketu -> Duration_months,,,4.899597568988173,
4,Mars -> Antardasha -> Ketu -> Duration_years,,,,0.4083333333333333
4,Mars -> Antardasha -> Venus -> Duration_seconds,36817200.0,,,
4,Mars -> Antardasha -> Venus -> Duration_days,,426.125,,
4,Mars -> Antardasha -> Venus -> Duration_months,,,13.998850197109064,
4,Mars -> Antardasha -> Venus -> Duration_years,,,,1.1666666666666667
4,Mars -> Antardasha -> Sun -> Duration_seconds,11045160.0,,,
4,Mars -> Antardasha -> Sun -> Duration_days,,127.8375,,
4,Mars -> Antardasha -> Sun -> Duration_months,,,4.199655059132719,
4,Mars -> Antardasha -> Sun -> Duration_years,,,,0.35
4,Mars -> Antardasha -> Moon -> Duration_seconds,18408600.0,,,
4,Mars -> Antardasha -> Moon -> Duration_days,,213.0625,,
4,Mars -> Antardasha -> Moon -> Duration_months,,,6.999425098554532,
4,Mars -> Antardasha -> Moon -> Duration_years,,,,0.5833333333333334
4,Mars -> Antardasha -> Mars -> Duration_seconds,12886020.0,,,
4,Mars -> Antardasha -> Mars -> Duration_days,,149.14375,,
4,Mars -> Antardasha -> Mars -> Duration_months,,,4.899597568988173,
4,Mars -> Antardasha -> Mars -> Duration_years,,,,0.4083333333333333
4,Mars -> Antardasha -> Rahu -> Duration_seconds,33135480.0,,,
4,Mars -> Antardasha -> Rahu -> Duration_days,,383.5125,,
4,Mars -> Antardasha -> Rahu -> Duration_months,,,12.598965177398158,
4,Mars -> Antardasha -> Rahu -> Duration_years,,,,1.05
4,Mars -> Antardasha -> Jupiter -> Duration_seconds,29453760.0,,,
4,Mars -> Antardasha -> Jupiter -> Duration_days,,340.9,,
4,Mars -> Antardasha -> Jupiter -> Duration_months,,,11.199080157687252,
4,Mars -> Antardasha -> Jupiter -> Duration_years,,,,0.9333333333333333
4,Mars -> Antardasha -> Saturn -> Duration_seconds,34976340.0,,,
4,Mars -> Antardasha -> Saturn -> Duration_days,,404.81875,,
4,Mars -> Antardasha -> Saturn -> Duration_months,,,13.298907687253612,
4,Mars -> Antardasha -> Saturn -> Duration_years,,,,1.1083333333333334
4,Mars -> Antardasha -> Mercury -> Duration_seconds,31294620.0,,,
